task,model,n,n_total,accuracy,accuracy_std,ci_lo,ci_hi,unknown_rate,macro_f1
overruling,qwen_3_4b,10,50,0.9745,0.04358612164439501,0.9,1.0,0.0,0.9746511266511267
overruling,qwen_3_4b,16,50,0.9784375,0.029710517392835825,0.9375,1.0,0.0,0.9788544565379133
overruling,qwen_3_4b,25,50,0.9766000000000001,0.019708881246788226,0.96,1.0,0.0,0.9795546825607266
overruling,qwen_3_4b,32,50,0.97921875,0.014749702062668926,0.96875,1.0,0.0,0.9783083382480247
overruling,qwen_3_4b,40,50,0.9807499999999999,0.010520812706250415,0.975,1.0,0.0,0.9807976343170398
overruling,qwen_3_8b,full,50,0.96,,,,0.0,0.9599358974358974
overruling,qwen_3_8b,5,50,0.9570000000000001,0.08216446920658586,0.8,1.0,0.0,0.9512658730158731
overruling,qwen_3_8b,10,50,0.9565,0.05529692577350027,0.8,1.0,0.0,0.9578949849170438
overruling,qwen_3_8b,16,50,0.9634375,0.03764425379457002,0.875,1.0,0.0,0.9548567690800697
overruling,qwen_3_8b,25,50,0.9612,0.02739635012186841,0.92,1.0,0.0,0.95903834814411
overruling,qwen_3_8b,32,50,0.960625,0.021249999999999998,0.9375,1.0,0.0,0.9603163995841336
overruling,qwen_3_8b,40,50,0.9606249999999997,0.012358574958303253,0.95,0.975,0.0,0.960937661449592
semiconductor_org_types,llama_3_8b,full,50,0.06,,,,0.0,0.043872670295233375
semiconductor_org_types,llama_3_8b,5,50,0.042,0.08388086790204308,0.0,0.2,0.0,0.06762301587301588
semiconductor_org_types,llama_3_8b,10,50,0.06,0.06244997998398399,0.0,0.2,0.0,0.0441180254930255
semiconductor_org_types,llama_3_8b,16,50,0.0603125,0.04775323123883869,0.0,0.125,0.0,0.04261351869807752
semiconductor_org_types,llama_3_8b,25,50,0.05539999999999999,0.03266251674320275,0.0,0.12,0.0,0.0428558915023446
semiconductor_org_types,llama_3_8b,32,50,0.06328125,0.024494399072798257,0.0,0.09375,0.0,0.04338749066459022
semiconductor_org_types,llama_3_8b,40,50,0.05725,0.01812974075931589,0.025,0.075,0.0,0.043632260628183
semiconductor_org_types,qwen_3_4b,full,50,0.04,,,,0.0,0.07843137254901962
semiconductor_org_types,qwen_3_4b,5,50,0.039,0.08172514912803769,0.0,0.2,0.0,0.07680555555555556
semiconductor_org_types,qwen_3_4b,10,50,0.04449999999999999,0.05718172785077415,0.0,0.2,0.0,0.06994841269841269
semiconductor_org_types,qwen_3_4b,16,50,0.036875,0.04201469237064577,0.0,0.125,0.0,0.06807936507936507
semiconductor_org_types,qwen_3_4b,25,50,0.0416,0.02678507046845313,0.0,0.08,0.0,0.07710562123062123
semiconductor_org_types,qwen_3_4b,32,50,0.04203125,0.020633875931038746,0.0,0.0625,0.0,0.07610338735338734
semiconductor_org_types,qwen_3_4b,40,50,0.0375,0.014577379737113252,0.0,0.05,0.0,0.07578067194243665
semiconductor_org_types,qwen_3_8b,full,50,0.02,,,,0.0,0.014184397163120567
semiconductor_org_types,qwen_3_8b,5,50,0.016,0.054258639865002144,0.0,0.2,0.0,0.014944444444444444
semiconductor_org_types,qwen_3_8b,10,50,0.023,0.04208325082500163,0.0,0.1,0.0,0.012632996632996631
semiconductor_org_types,qwen_3_8b,16,50,0.02125,0.029606798205817526,0.0,0.0625,0.0,0.0138218954248366
semiconductor_org_types,qwen_3_8b,25,50,0.0206,0.019990997974088237,0.0,0.04,0.0,0.01300765852504983
semiconductor_org_types,qwen_3_8b,32,50,0.0190625,0.015242185497821498,0.0,0.03125,0.0,0.013915538870349771
semiconductor_org_types,qwen_3_8b,40,50,0.020499999999999997,0.009604686356149276,0.0,0.025,0.0,0.014775458657037603
tai_safety_research,llama_3_8b,full,50,0.32,,,,0.0,0.29166666666666663
tai_safety_research,llama_3_8b,5,50,0.321,0.21438050284482496,0.0,0.8,0.0,0.2829960317460317
tai_safety_research,llama_3_8b,10,50,0.32,0.13341664064126332,0.09750000000000006,0.6,0.0,0.2879979048729049
tai_safety_research,llama_3_8b,16,50,0.324375,0.09568625489065814,0.18593750000000003,0.5,0.0,0.2821999935572422
tai_safety_research,llama_3_8b,25,50,0.3184,0.06521840231100422,0.2,0.44,0.0,0.28463593563985584
tai_safety_research,llama_3_8b,32,50,0.320625,0.05184487076847622,0.21875,0.4070312500000002,0.0,0.29682589155817596
tai_safety_research,llama_3_8b,40,50,0.32237499999999997,0.036520328243322235,0.25,0.375,0.0,0.2900366411651507
tai_safety_research,qwen_3_4b,full,50,0.18,,,,0.0,0.17703733440385386
tai_safety_research,qwen_3_4b,5,50,0.17300000000000001,0.16574377816376695,0.0,0.6,0.0,0.1528392857142857
tai_safety_research,qwen_3_4b,10,50,0.16050000000000003,0.10339124721174418,0.0,0.4,0.0,0.16659258796758794
tai_safety_research,qwen_3_4b,16,50,0.175625,0.08229852292113145,0.0,0.375,0.0,0.16598893950906338
tai_safety_research,qwen_3_4b,25,50,0.17920000000000003,0.053659668280748814,0.08,0.28,0.0,0.1753191566152211
tai_safety_research,qwen_3_4b,32,50,0.18390625,0.04388122062383292,0.09375,0.25,0.0,0.17252125574895974
tai_safety_research,qwen_3_4b,40,50,0.1815,0.026603571188846063,0.125,0.225,0.0,0.17881981197119867
tai_safety_research,qwen_3_8b,full,50,0.28,,,,0.0,0.2694805194805195
tai_safety_research,qwen_3_8b,5,50,0.29600000000000004,0.18542923178398815,0.0,0.6,0.0,0.2466547619047619
tai_safety_research,qwen_3_8b,10,50,0.29450000000000004,0.1289176093479863,0.1,0.6,0.0,0.25623591686091685
tai_safety_research,qwen_3_8b,16,50,0.275625,0.09605296390533714,0.125,0.43906250000000036,0.0,0.26733547965547566
tai_safety_research,qwen_3_8b,25,50,0.28380000000000005,0.06204482250760332,0.16,0.4,0.0,0.2727779771672305
tai_safety_research,qwen_3_8b,32,50,0.27734375,0.044736369694438775,0.1875,0.3445312500000002,0.0,0.26630936124891136
tai_safety_research,qwen_3_8b,40,50,0.281625,0.03330517039439972,0.22437500000000002,0.35,0.0,0.27215331672144155
terms_of_service,llama_3_8b,full,50,0.56,,,,0.0,0.5225694444444444
terms_of_service,llama_3_8b,5,50,0.588,0.21784398086704165,0.2,1.0,0.0,0.5508968253968254
terms_of_service,llama_3_8b,10,50,0.5445,0.1325509336066706,0.3,0.8,0.0,0.5287829396910279
terms_of_service,llama_3_8b,16,50,0.5628125,0.10430152728388019,0.375,0.75,0.0,0.5068402001671621
terms_of_service,llama_3_8b,25,50,0.5568,0.07248282555198853,0.4,0.68,0.0,0.5165480198156652
terms_of_service,llama_3_8b,32,50,0.55984375,0.05065754162449555,0.46875,0.65625,0.0,0.5178119502127394
terms_of_service,llama_3_8b,40,50,0.555625,0.038765118018651755,0.475,0.625,0.0,0.5250263044421444
terms_of_service,qwen_3_4b,full,50,0.68,,,,0.0,0.6031746031746031
